Title,Name,Part of volume,Physical description,Acquisition,destination,Languages,Authors,Mentions,Party to the Deed,Key Words,Notes,URL
[u'MS. Heb. c. 19/31'],[u'An Arabic translation and a rational commentary on Chronicles'],[u'MS. Heb. c. 19'],"[u'Syr\u200e.\u200e squ\u200e.\u200e Rabb\u200e.\u200e char\u200e.\u200e \u200e(\u200eold\u200e)\u200e \u200e;\u200e \u200e4\u200eto\u200e,\u200e paper \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'107a', u'120b']",[u'Main language: Judeo-Arabic.'],[],[],[],"[u'Bible. Versions. Anonymous. Arabic: Chronicles.', u'Bible. Commentaries. Anonymous. Arabic: Chronicles.']",[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/0e704f38-db02-416e-b3d5-0b651087f8a1
[u'MS. Heb. c. 19/32'],[u'Vocabulary; liturgical'],[u'MS. Heb. c. 19'],"[u'Syr\u200e.\u200e Kar\u200e.\u200e Rabb\u200e.\u200e char\u200e.\u200e \u200e(\u200e \u03b2.  smaller\u200e)\u200e \u200e;\u200e \u200e8\u200evo\u200e,\u200e vellum \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'121a', u'128b']",[u'Main language: Judeo-Arabic.'],['Abu Ali'],[],[],"[u'Bible. Commentaries. Anonymous. Hebrew: Psalms.', u'Bible. Commentaries. Anonymous. Arabic: Psalms.', u'Liturgy. Various fragments. (\u05d9\u05d5\u05dd \u05ea\u05e8\u05d5\u05e2\u05d4).', u'Abu \u02bfAli. Prayer for \u05d9\u05d5\u05dd \u05ea\u05e8\u05d5\u05e2\u05d4.', u'Vocabularies. Arabic.']",[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/b0b5351a-ddeb-4685-adfe-a0df1387b573
[u'MS. Heb. c. 19/33'],[u'An allegorical commentary in Arabic on Canticles'],[u'MS. Heb. c. 19'],"[u'Yemen squ\u200e.\u200e Rabb\u200e.\u200e char\u200e.\u200e\u200e;\u200e \u200e8\u200evo\u200e,\u200e paper \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'129a', u'132b']",[u'Main language: Judeo-Arabic.'],[],[],[],[],"[u'beg\u200e.\u200e and end missing\u200e;\u200e it is divided into scenes\u200e:\u200e ', u'The Hebrew words when provided with vowel points are with superlinear ones\u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/691dff06-c2cf-4942-b37f-fd462071c8bc
[u'MS. Heb. c. 19/4'],[u'Genesis xxxix. 11 (\u05d0\u05e0\u05d4 \u05d3\u05db\u05dc) to xlii. 1 (\u05d1\u05de\u05e6\u05e8).'],[u'MS. Heb. c. 19'],"[u'Syr\u200e.\u200e Rabb\u200e.\u200e char\u200e.\u200e\u200e;\u200e \u200e8\u200evo\u200e,\u200e paper \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'23a', u'30b']",[u'Main language: Judeo-Arabic.'],"['Seadiah b. Joseph al-fayyumi, Gaon']",[],[],"[u'Seadiah b. Joseph al-fayyumi, Gaon. Versions, Arabic: Genesis.']",[u'By Seadiah Gaon \u200e.\u200e '],http://genizah.bodleian.ox.ac.uk/profile/manuscript/68db069b-72c6-4fe8-9144-cfe788d2a31d
[u'MS. Heb. c. 19/5'],[u'Genesis xli. 42 (\u05d5\u05d9\u05e1\u05e8) to xliv. 33 (\u05de\u05db\u05d0\u05df)'],[u'MS. Heb. c. 19'],"[u'Syr\u200e.\u200e squ\u200e.\u200e Rabb\u200e.\u200e char\u200e.\u200e\u200e;\u200e \u200e4\u200eto\u200e,\u200e vellum \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'31a', u'34b']",[u'Main language: Judeo-Arabic.'],"['Seadiah b. Joseph al-fayyumi, Gaon']",[],[],"[u'Seadiah b. Joseph al-fayyumi, Gaon. Versions, Arabic: Genesis.']",[u'By Seadiah Gaon \u200e.\u200e '],http://genizah.bodleian.ox.ac.uk/profile/manuscript/b8d8c783-8144-4edf-9827-65a08c27eb5e
[u'MS. Heb. c. 19/6'],[u'Exodus xxxi. 3 (\u05de\u05df \u05e2\u05e0\u05d3 \u05d0\u05dc\u05dc\u05d4) to xxxiv. 19 (\u05d5\u05db\u05dc).'],[u'MS. Heb. c. 19'],"[u'Syr\u200e.\u200e squ\u200e.\u200e Rabb\u200e.\u200e char\u200e.\u200e\u200e;\u200e \u200e4\u200eto\u200e,\u200e vellum \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'35a', u'37b']",[u'Main language: Judeo-Arabic.'],"['Seadiah b. Joseph al-fayyumi, Gaon']",[],[],"[u'Seadiah b. Joseph al-fayyumi, Gaon. Versions, Arabic: Exodus.']",[u'By Seadiah Gaon \u200e.\u200e '],http://genizah.bodleian.ox.ac.uk/profile/manuscript/017cb425-a03e-4391-a8fe-a12560edffa0
[u'MS. Heb. c. 19/7'],[u'Exodus'],[u'MS. Heb. c. 19'],"[u'Span\u200e.\u200e Rabb\u200e.\u200e char\u200e.\u200e\u200e;\u200e \u200e4\u200eto\u200e,\u200e vellum \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'38a', u'39b']",[u'Main language: Judeo-Arabic.'],"['Seadiah b. Joseph al-fayyumi, Gaon']",[],[],"[u'Seadiah b. Joseph al-fayyumi, Gaon. Versions, Arabic: Exodus.']",[u'By Seadiah Gaon \u200e.\u200e '],http://genizah.bodleian.ox.ac.uk/profile/manuscript/afe49f99-d691-4c2d-8c14-f03fee811d92
[u'MS. Heb. c. 19/8'],[u'Numbers'],[u'MS. Heb. c. 19'],"[u'Span\u200e.\u200e Rabb\u200e.\u200e char\u200e.\u200e\u200e;\u200e \u200e4\u200eto\u200e,\u200e vellum \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'40a', u'41b']",[u'Main language: Judeo-Arabic.'],"['Seadiah b. Joseph al-fayyumi, Gaon']",[],[],"[u'Seadiah b. Joseph al-fayyumi, Gaon. Versions, Arabic: Numbers.']",[u'By Seadiah Gaon \u200e.\u200e '],http://genizah.bodleian.ox.ac.uk/profile/manuscript/6b738f56-8099-4318-a384-d4d52523733a
[u'MS. Heb. c. 19/9'],[u'Numbers'],[u'MS. Heb. c. 19'],"[u'Span\u200e.\u200e Rabb\u200e.\u200e char\u200e.\u200e\u200e;\u200e \u200e4\u200eto\u200e,\u200e vellum \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'42a', u'43b']",[u'Main language: Judeo-Arabic.'],"['Seadiah b. Joseph al-fayyumi, Gaon']",[],[],"[u'Seadiah b. Joseph al-fayyumi, Gaon. Versions, Arabic: Numbers.']",[u'By Seadiah Gaon \u200e.\u200e '],http://genizah.bodleian.ox.ac.uk/profile/manuscript/6b29e0c7-f438-4f1e-8031-8f894e5cc981
[u'MS. Heb. c. 20/A'],[u'Liturgical'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'1a', u'2b']",[u'Main language: Hebrew.'],['Yoanan kohen'],[],[],"[u'Yo\u1e25anan kohen.', u'Eleazar Qalir.', u'Liturgy. \u05e4\u05d9\u05d5\u05d8\u05d9\u05dd for various occasions.']",[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/4e41c322-c917-484a-b4a5-1f6e1d2dc7bc
[u'MS. Heb. c. 20/B'],[u'For \u05e1\u05d3\u05e8\u05d9\u05dd'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'3a', u'4b']",[u'Main language: Hebrew.'],[],[],[],[u'Liturgy. \u05e4\u05d9\u05d5\u05d8\u05d9\u05dd for various occasions.'],[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/064c4f3c-b402-4578-b570-e0bba61322a8
[u'MS. Heb. c. 20/C'],[u'Liturgical'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'5a', u'6b']",[u'Main language: Hebrew.'],[],[],[],[u'Liturgy. \u05e4\u05d9\u05d5\u05d8\u05d9\u05dd for various occasions.'],[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/d2b1da48-0170-487b-b0dc-a84a71850d34
[u'MS. Heb. c. 20/D'],[u'Liturgical'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'7a', u'8b']",[u'The main language is Hebrew. Other languages included: Judeo-Arabic.'],['Solomon'],[],[],"[u'Liturgy. \u05e4\u05d9\u05d5\u05d8\u05d9\u05dd for various occasions.', u'Solomon.']",[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/746e4410-ac95-4b75-8da2-228174ee5df7
[u'MS. Heb. c. 20/E'],[u'Ma\u1e25azor; Liturgical'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'9a', u'10b']",[u'Main language: Hebrew.'],[],[],[],[u'Liturgy. Ma\u1e25zor.'],[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/1b93aa65-ffc2-4199-972b-448ff71c4ee6
[u'MS. Heb. c. 20/F'],[u'A fragment of the Siddur of R. Amram'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'11a', u'17b']",[u'Main language: Hebrew.'],"['Amram b. Sheshna, Gaon']",[],[],"[u'Amram b. Sheshna, Gaon. \u05e1\u05d9\u05d3\u05d5\u05e8.', u'Formulae of documents.']","[u'beg\u200e.\u200e \u200e(\u200e fol. 11 \u200e)\u200e with \u05d4\u05d5\u05e9\u05e2\u05e0\u05d4 \u200e,\u200e ending \u200e(\u200e fol. 16b \u200e)\u200e with the words \u200e(\u200einjured\u200e)\u200e \u05e0\u05e9\u05dc\u05dd \u05d4\u05e1\u05d9\u05d3\u05d5\u05e8 \u05e9\u05dc\u05ea\u05e4\u05dc\u05d5\u05ea \u05d5\u05e9\u05dc\u05d1\u05e8\u05db\u05d5\u05ea \u05e9\u05dc\u05db\u05dc \u05d4\u05e9\u05e0\u05d4 \u05db\u05d5\u05dc\u05d4 \u05e9\u05dc\u05e2\u05de\u05e8\u05dd ... \u05e9\u05e9\u05e0\u05d0 \u05e8\u05d9\u05e9 \u05de\u05ea\u05d9\u05d1\u05ea\u05d0 \u200e.\u200e Then follows the formula of \u05db\u05ea\u05d5\u05d1\u05ea \u05d1\u05ea\u05d5\u05dc\u05d4 \u200e,\u200e end missing\u200e.\u200e No date\u200e,\u200e but the writing is old\u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/403daa0a-07ff-4420-ab49-8ac1de3d2d24
[u'MS. Heb. c. 20/G'],"[u'Two \u05e9\u05d1\u05e2\u05d4 for Sabbaths, by Qalir (\u05dc\u05d0\u05dc\u05e2\u05d6\u05e8 \u05d1\u05e8 \u05d0\u05dc\u05e7\u05dc\u05e8)']",[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'18a', u'18b']",[u'Main language: Hebrew.'],['Eleazar Qalir'],[],[],"[u'Bible. Numbers.', u'Eleazar Qalir.', u'Magic, treatises and notes on.']",[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/56bd278c-b4b4-4829-9dd4-0f3886ea288e
[u'MS. Heb. c. 20/H'],[u'Liturgies for \u05d9\u05d5\u05dd \u05db\u05d9\u05e4\u05d5\u05e8'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'19a', u'20b']",[u'Main language: Hebrew.'],[],[],[],[u'Liturgy. \u05d9\u05d5\u05dd \u05d4\u05db\u05d9\u05e4\u05d5\u05e8\u05d9\u05dd.'],[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/a77508b4-48f5-4287-b192-adb6cdb6e8f9
[u'MS. Heb. c. 20/I'],[u'Liturgical'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'21a', u'22b']",[u'Main language: Hebrew.'],[],[],[],"[u'Liturgy. \u05e9\u05d1\u05d5\u05e2\u05d5\u05ea.', u'Liturgy. \u05e2\u05d1\u05d5\u05d3\u05d4.']",[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/3bd68f89-6bd8-4204-8c0e-5e77564c5598
[u'MS. Heb. c. 20/K'],[u'\u05e1\u05dc\u05d9\u05d7\u05d5\u05ea'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'23a', u'24b']",[u'Main language: Hebrew.'],['Eleazar Qalir'],[],[],"[u'Eleazar Qalir.', u'Liturgy. \u05e1\u05dc\u05d9\u05d7\u05d5\u05ea.', u'Shemariah (kohen) b. Aaron.', u'Solomon b. Judah Babli.']","[u'beg\u200e.\u200e missing\u200e.\u200e ', u'On the margin of fol. 23 \u200e,\u200e the following name is written \u200e(\u200eprobably that of the author of \u200e1\u200e\u200e.\u200e\u200e)\u200e\u200e,\u200e \u05dc\u05e9\u05de\u05e8\u05d9\u05d4 \u05d4\u05db\u05d4\u05df \u05d1\u05d9\u05e8\u0307 \u05d0\u05d4\u05e8\u05df \u05e0\u05d8\u0307 \u05e8\u05d7\u0307 \u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/f928f40e-b1bc-4903-950d-776ad2586d0d
[u'MS. Heb. c. 20/L'],[u'A liturgy'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'25a', u'28b']",[u'Main language: Hebrew.'],[],[],[],[u'Liturgy. Various fragments.'],"[u'injured\u200e,\u200e comprising \u05e8\u05dd \u05e2\u05dc \u05db\u05dc \u05d4\u05e8\u05de\u05d9\u05dd \u200e;\u200e fol. 26 \u200e,\u200e \u05d0\u05d4\u05d9\u05d4 \u05d0\u05e9\u05e8 \u05d0\u05d4\u05d9\u05d4 \u200e;\u200e fol. 27 \u200e,\u200e \u05de\u05d9 \u05d9\u05de\u05dc\u05dc \u200e;\u200e and \u05de\u05d9 \u05d9\u05e1\u05e4\u05e8 \u200e;\u200e fol. 28 \u200e,\u200e \u05db\u05ea\u05e8 \u200e;\u200e end \u05d5\u05d1\u05db\u05dc \u05e4\u05d5\u05e2\u05dc \u05d9\u05d3\u05d9 \u05d0\u05de\u05d5\u05e0\u05ea\u05da \u05d0\u05de\u05df \u05d0\u0307 \u05d0\u0307 \u05e1\u05dc\u05d4 \u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/9c24f799-9fe5-4358-9d1f-5480ff3d0458
[u'MS. Heb. c. 20/M'],[u'Liturgies for \u05e9\u05d1\u05ea \u05e0\u05d7\u05de\u05d5 (?)'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'29a', u'32b']",[u'Main language: Hebrew.'],['Eleazar Qalir'],[],[],"[u'Eleazar Qalir.', u'Liturgy. \u05d9\u05d5\u05e6\u05e8\u05d5\u05ea.', u'Liturgy. \u05e4\u05d9\u05d5\u05d8\u05d9\u05dd for various occasions.']",[u'With vowel points\u200e.\u200e '],http://genizah.bodleian.ox.ac.uk/profile/manuscript/d4b51fa3-1158-40eb-9a2e-745bebf8aefc
[u'MS. Heb. c. 20/N'],[u'Liturgical'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'33a', u'33(b)b']",[u'The main language is Hebrew. Other languages included: Judeo-Arabic.'],[],[],[],"[u'Liturgy. \u05e2\u05d1\u05d5\u05d3\u05d4.', u'Liturgy. \u05e4\u05d9\u05d5\u05d8\u05d9\u05dd for various occasions.']",[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/d07d97f6-d5c2-46d2-bb18-9e6630f999fe
[u'MS. Heb. c. 20/O'],[u'A fragment of the liturgy for \u05d2\u05e9\u05dd (rain) (at \u05e9\u05de\u05d9\u05e0\u05d9 \u05e2\u05e6\u05e8\u05ea)'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'34a', u'34b']",[u'Main language: Hebrew.'],[],[],[],"[u'Liturgy. \u05d2\u05e9\u05dd.', u'Liturgy. \u05e4\u05d9\u05d5\u05d8\u05d9\u05dd for various occasions.']","[u'injured\u200e,\u200e and beg\u200e.\u200e missing\u200e,\u200e last strophe beg\u200e.\u200e \u05dc\u05d0 \u05ea\u05bf\u05dc\u05d5\u05d4 \u05de\u05dc\u05e4\u05ea\u05d5\u05d7 \u05e1\u05d2\u05d5\u05e8. \u05dc\u05e2\u05e0\u05d5\u05ea \u05de\u05e6\u05e4\u05e6\u05e4\u05d9\u05dd \u05db\u05e2\u05d2\u05d5\u05e8. \u05de\u0307 \u05ea\u05e8\u05d9\u05e7 \u05dc\u05db\u05dc \u05de\u05d2\u05d5\u05e8. \u05d1\u05df \u05e2\u05d2\u05d5\u05e8 \u05d5\u05d0\u05d2\u05d5\u05e8 \u200e,\u200e \u200e(\u200e\u05d0\u0307\u05d1\u0307\u200e)\u200e\u200e,\u200e followed by \u05d0\u0307\u05d5\u0307\u05d0\u0307 \u05d0\u05d9\u05d5\u05dd \u05d6\u05db\u05d5\u05e8 \u05e0\u05d0 \u05dc\u05e9\u05d5\u05d0\u05dc\u05d9 \u05de\u05d9\u05dd \u200e.\u200e With vowel points\u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/17198f08-86bd-43ae-8cdd-57334f40914c
[u'MS. Heb. c. 20/P'],[u'Liturgical'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'35a', u'36b']",[u'Main language: Hebrew.'],[],[],[],"[u'Liturgy. \u05e9\u05de\u05e0\u05d4 \u05e2\u05e9\u05e8\u05d4.', u'Liturgy. \u05e4\u05d9\u05d5\u05d8\u05d9\u05dd for various occasions.', u'Liturgy. Various fragments.']",[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/609add96-6b0d-4916-9214-ce04a2c2a1ef
[u'MS. Heb. c. 20/Q'],[u'Liturgical'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'37a', u'38b']",[u'Main language: Hebrew.'],[],[],[],[u'Liturgy. \u05e4\u05d9\u05d5\u05d8\u05d9\u05dd for various occasions.'],[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/400f6ccb-578d-480b-9b5a-382118e8ffbf
[u'MS. Heb. c. 20/R'],[u'Liturgies on Isaiah vi (Haftarah for \u05d9\u05ea\u05e8\u05d5)'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'39a', u'40b']",[u'Main language: Hebrew.'],[],[],[],[u'Liturgy. \u05e4\u05d9\u05d5\u05d8\u05d9\u05dd for various occasions.'],[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/33794674-9b5c-4326-bf42-9ddf0173375a
[u'MS. Heb. c. 20/S'],[u'A mystical prayer'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'41a', u'41b']",[u'Main language: Hebrew.'],[],[],[],[u'Liturgy. Various fragments.'],"[u'beg\u200e.\u200e missing \u200e(\u200e\u200e?\u200e\u200e)\u200e\u200e,\u200e beg\u200e.\u200e \u05d1\u05e9\u05dd \u05d4\u05e7\u05d5\u05d3... \u05de\u05d8\u05d4 \u05d5\u05e2\u05d5\u05d3 \u05d4\u05e4\u05da \u05de\u05d9\u05dd \u200e,\u200e ending with a mystical formula\u200e,\u200e headed \u05d5\u05d6\u05d0\u05ea \u05ea\u05d4\u05d9\u05d4 \u05ea\u05e4\u05dc\u05ea \u05d0\u05d3\u05dd \u05e9\u05d9\u05ea\u05e4\u05dc\u05dc \u05d1\u05e2\u05ea \u05e9\u05d9\u05e8\u05d7\u05e5 \u05d5\u05d9\u05dc\u05d1\u05e9 \u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/dd9c9225-6f5d-4bdd-abb3-316b1842d7eb
[u'MS. Heb. c. 20/T'],[u'Prayers based on the beginning of Psalms ix-xiv'],[u'MS. Heb. c. 20'],[u'vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1891 (from the Genizah).']","[u'42a', u'42b']",[u'Main language: Hebrew.'],[],[],[],[u'Liturgy. Various fragments.'],"[u'with other verses\u200e,\u200e e\u200e.\u200eg\u200e.\u200e on Psalm xi after \u05e6\u05e4\u05d5\u05e8 followed \u05e7\u05d5\u05dc \u05db\u05dc\u05e4\u05d4 \u200e(\u200ethese two words also occur in the other Psalms\u200e)\u200e\u200e,\u200e with Psalm lxvi\u200e.\u200e \u200e9\u200e\u200e,\u200e \u200e1\u200e\u200e0\u200e\u200e,\u200e \u200e1\u200e\u200e3\u200e\u200e,\u200e Jeremiah xxxi\u200e.\u200e\u200e7\u200e and lxxxix\u200e.\u200e\u200e5\u200e\u200e3\u200e\u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/622544ca-45d2-4b4c-85b8-4e85addd7440
[u'MS. Heb. c. 21/1'],[u'Mishnah'],[u'MS. Heb. c. 21'],"[u'Syr\u200e.\u200e Rabb\u200e.\u200e char\u200e.\u200e\u200e;\u200e large \u200e4\u200eto\u200e,\u200e vellum \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1892 (from the Genizah).']","[u'1a', u'2b']",[u'Main language: Hebrew.'],[],[],[],"[u'Mishnah. \u05d9\u05d1\u05de\u05d5\u05ea.', u'Mishnah. \u05db\u05ea\u05d5\u05d1\u05d5\u05ea.']","[u'There are omissions on the margins\u200e,\u200e and corrections between the lines \u200e;\u200e some accents\u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/4aebeea9-7a68-4b89-a8bd-f5fda98c5407
[u'MS. Heb. c. 21/10'],[u'Babylonian Talmud \u05e1\u05e0\u05d4\u05d3\u05e8\u05d9\u05df'],[u'MS. Heb. c. 21'],"[u'Syr\u200e.\u200e Rabb\u200e.\u200e char\u200e.\u200e\u200e;\u200e fol\u200e.\u200e\u200e,\u200e vellum \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1892 (from the Genizah).']","[u'20a', u'21b']",[u'Main language: Hebrew.'],[],[],[],"[u'Talmud, Babli. \u05e1\u05e0\u05d4\u05d3\u05e8\u05d9\u05df.']",[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/017ccf1e-ff4c-4315-8892-443e55e2f253
[u'MS. Heb. c. 21/11'],[u'\u05d4\u05dc\u05db\u05d5\u05ea concerning the tractate \u05d1\u05e8\u05db\u05d5\u05ea'],[u'MS. Heb. c. 21'],"[u'Syr\u200e.\u200e squ\u200e.\u200e Rabb\u200e.\u200e char\u200e.\u200e\u200e;\u200e fol\u200e.\u200e\u200e,\u200e vellum \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1892 (from the Genizah).']","[u'22a', u'22b']",[u'Main language: Hebrew.'],[],[],[],[],"[u'Beg\u200e.\u200e and end missing\u200e;\u200e the first section beg\u200e.\u200e \u05ea\u05e0\u05d5 \u05e8\u05d1\u05e0\u05df \u05e2\u05d1\u05d3\u05d9\u05dd \u05d5\u05e9\u05e4\u05d7\u05d5\u05ea \u05d0\u05d9\u05df \u05e2\u05d5\u05de\u05d3\u05d9\u05df \u05e2\u05dc\u05d9\u05d4\u05df \u05d1\u05e9\u05d5\u05e8\u05d4 \u200e,\u200e last section beg\u200e.\u200e \u05ea\u0307\u05e8\u0307 \u05d1\u05e9\u05d1\u05ea\u05da \u05d1\u05d1\u05d9\u05ea\u05da \u05e4\u05e8\u05d8 \u05dc\u05e2\u05d5\u05e1\u05e7 \u05d1\u05de\u05e6\u05d5\u05d4 \u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/3544cc06-4704-4d44-a3e7-3ac90b774eb2
[u'MS. Heb. c. 21/12'],[u'Babylonian Talmud \u05d7\u05d5\u05dc\u05d9\u05df'],[u'MS. Heb. c. 21'],"[u'Syr\u200e.\u200e squ\u200e.\u200e char\u200e.\u200e\u200e;\u200e fol\u200e.\u200e\u200e,\u200e vellum \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1892 (from the Genizah).']","[u'23a', u'23b']",[u'Main language: Hebrew.'],[],[],[],"[u'Talmud, Babli. \u05d7\u05d5\u05dc\u05d9\u05df.']","[u'from fol\u200e.\u200e \u200e1\u200e\u200e3\u200e\u200e9\u200e\u200e,\u200e l\u200e.\u200e\u200e1\u200e\u200e6\u200e \u200e(\u200e\u05dc\u05d1\u05d3\u05e7 \u05d4\u05d1\u05d9\u05ea\u200e)\u200e to fol\u200e.\u200e \u200e1\u200e\u200e4\u200e\u200e0\u200e\u200e,\u200e l\u200e.\u200e \u200e1\u200e\u200e1\u200e \u200e(\u200e\u05e9\u05de\u05e2 \u05e9\u05ea\u05d9 \u05e6\u05e4\u05e8\u05d9\u05dd \u05d7\u05d9\u05d5\u05ea\u200e)\u200e\u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/85e558de-769c-47a9-807b-51e3cdd11628
[u'MS. Heb. c. 21/13'],"[u'Babylonian Talmud \u05e2\u05e8\u05db\u05d9\u05df from fol. 5b, l. 6 from below (\u05e2\u05d1\u05d9\u05d3 \u05dc\u05d9\u05d4) to fol. 6b, l. 4 from below (\u05e8\u05d1\u05d0 \u05d0\u05de\u05e8)']",[u'MS. Heb. c. 21'],"[u'Syr\u200e.\u200e squ\u200e.\u200e Rabb\u200e.\u200e char\u200e.\u200e\u200e;\u200e fol\u200e.\u200e\u200e,\u200e vellum \u200e.\u200e  ']","[u'Bought through the Rev. G. J. Chester, 1892 (from the Genizah).']","[u'24a', u'24b']",[u'Main language: Hebrew.'],[],[],[],"[u'Talmud, Babli. \u05e2\u05e8\u05db\u05d9\u05df.']",[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/751258e4-db35-4824-93e5-f39e295bd3ad
[u'MS. Heb. c. 21/14'],[u'Babylonian Talmud \u05d1\u05d1\u05d0 \u05e7\u05de\u05d0'],[u'MS. Heb. c. 21'],"[u'Syr\u200e.\u200e large squ\u200e.\u200e char\u200e.\u200e\u200e;\u200e broad folio\u200e,\u200e vellum \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1892 (from the Genizah).']","[u'25a', u'36b']",[u'Main language: Hebrew.'],[],[],[],"[u'Talmud, Babli. \u05d1\u05d1\u05d0 \u05e7\u05de\u05d0.']",[u'On the margin omissions are supplied by a later hand\u200e.\u200e '],http://genizah.bodleian.ox.ac.uk/profile/manuscript/d46da04a-3edf-41fb-adfd-e7f1cf2edb95
